[09:12:51:987] Waiting for Dofus.exe process...
[09:16:38:037] Sending message 4001 (FriendsGetListMessage)
[09:16:38:038] Sending message 5676 (IgnoredGetListMessage)
[09:16:38:038] Sending message 6355 (SpouseGetInformationsMessage)
[09:16:38:059] Receiving message 6362 (BasicAckMessage)
[09:16:38:059] Receiving message 4002 (FriendsListMessage)
[09:16:38:059] Receiving message 176 (BasicNoOperationMessage)
[09:16:38:263] Sending message 5607 (ClientKeyMessage)
[09:16:38:280] Receiving message 6362 (BasicAckMessage)
[09:16:38:280] Receiving message 5674 (IgnoredListMessage)
[09:16:38:280] Receiving message 176 (BasicNoOperationMessage)
[09:16:38:280] Receiving message 6362 (BasicAckMessage)
[09:16:38:280] Receiving message 176 (BasicNoOperationMessage)
[09:16:38:428] Sending message 250 (GameContextCreateRequestMessage)
[09:16:38:449] Receiving message 6362 (BasicAckMessage)
[09:16:38:449] Receiving message 176 (BasicNoOperationMessage)
[09:16:38:672] Receiving message 6362 (BasicAckMessage)
[09:16:38:673] Receiving message 201 (ActorAlignmentInformations)
[09:16:38:673] Receiving message 200 (GameContextCreateMessage)
[09:16:38:673] Receiving message 5684 (LifePointsRegenBeginMessage)
[09:16:38:673] Receiving message 220 (CurrentMapMessage)
[09:16:38:673] Receiving message 175 (AtlasPointsInformations)
[09:16:38:673] Receiving message 500 (CharacterStatsListMessage)
[09:16:38:673] Receiving message 176 (BasicNoOperationMessage)
[09:16:39:476] Sending message 6317 (SequenceNumberMessage)
[09:16:39:499] Receiving message 6362 (BasicAckMessage)
[09:16:39:499] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:689] Sending message 6530 (BasicStatMessage)
[09:16:41:702] Sending message 5623 (QuestListRequestMessage)
[09:16:41:703] Sending message 6441 (PrismsListRegisterMessage)
[09:16:41:711] Receiving message 6362 (BasicAckMessage)
[09:16:41:711] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:715] Sending message 890 (ChannelEnablingMessage)
[09:16:41:715] Sending message 890 (ChannelEnablingMessage)
[09:16:41:715] Sending message 890 (ChannelEnablingMessage)
[09:16:41:716] Sending message 890 (ChannelEnablingMessage)
[09:16:41:716] Sending message 890 (ChannelEnablingMessage)
[09:16:41:717] Sending message 5622 (null)
[09:16:41:718] Sending message 6090 (null)
[09:16:41:731] Receiving message 6362 (BasicAckMessage)
[09:16:41:732] Receiving message 5626 (QuestListMessage)
[09:16:41:732] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:738] Receiving message 6362 (BasicAckMessage)
[09:16:41:752] Receiving message 6440 (PrismsListMessage)
[09:16:41:752] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:772] Receiving message 6362 (BasicAckMessage)
[09:16:41:772] Receiving message 891 (ChannelEnablingChangeMessage)
[09:16:41:772] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:772] Receiving message 6362 (BasicAckMessage)
[09:16:41:772] Receiving message 891 (ChannelEnablingChangeMessage)
[09:16:41:773] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:773] Receiving message 6362 (BasicAckMessage)
[09:16:41:773] Receiving message 891 (ChannelEnablingChangeMessage)
[09:16:41:773] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:773] Receiving message 6362 (BasicAckMessage)
[09:16:41:773] Receiving message 891 (ChannelEnablingChangeMessage)
[09:16:41:773] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:773] Receiving message 6362 (BasicAckMessage)
[09:16:41:773] Receiving message 891 (ChannelEnablingChangeMessage)
[09:16:41:773] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:773] Receiving message 6362 (BasicAckMessage)
[09:16:41:773] Receiving message 5625 (null)
[09:16:41:773] Receiving message 176 (BasicNoOperationMessage)
[09:16:41:773] Receiving message 6362 (BasicAckMessage)
[09:16:41:773] Receiving message 176 (BasicNoOperationMessage)
[09:16:42:021] Sending message 225 (MapInformationsRequestMessage)
[09:16:42:042] Receiving message 6362 (BasicAckMessage)
[09:16:42:264] Receiving message 226 (MapComplementaryInformationsDataMessage)
[09:16:42:264] Receiving message 5642 (null)
[09:16:42:264] Receiving message 780 (TextInformationMessage)
[09:16:42:265] Receiving message 6091 (null)
[09:16:42:265] Receiving message 226 (MapComplementaryInformationsDataMessage)
[09:16:42:265] Receiving message 176 (BasicNoOperationMessage)
[09:16:42:665] Sending message 6530 (BasicStatMessage)
[09:16:42:687] Receiving message 6362 (BasicAckMessage)
[09:16:42:687] Receiving message 176 (BasicNoOperationMessage)
[09:16:48:522] Sending message 6530 (BasicStatMessage)
[09:16:48:543] Receiving message 6362 (BasicAckMessage)
[09:16:48:543] Receiving message 176 (BasicNoOperationMessage)
[09:16:48:580] Sending message 5622 (null)
[09:16:48:603] Receiving message 6362 (BasicAckMessage)
[09:16:48:603] Receiving message 5625 (null)
[09:16:48:603] Receiving message 176 (BasicNoOperationMessage)
[09:17:13:186] Sending message 6530 (BasicStatMessage)
[09:17:13:207] Receiving message 6362 (BasicAckMessage)
[09:17:13:207] Receiving message 176 (BasicNoOperationMessage)
[09:17:17:625] Sending message 6530 (BasicStatMessage)
[09:17:17:627] Sending message 6530 (BasicStatMessage)
[09:17:17:631] Sending message 6092 (null)
[09:17:17:645] Receiving message 6362 (BasicAckMessage)
[09:17:17:647] Receiving message 176 (BasicNoOperationMessage)
[09:17:17:666] Receiving message 6362 (BasicAckMessage)
[09:17:17:667] Receiving message 176 (BasicNoOperationMessage)
[09:17:17:886] Receiving message 6362 (BasicAckMessage)
[09:17:17:886] Receiving message 220 (CurrentMapMessage)
[09:17:17:886] Receiving message 175 (AtlasPointsInformations)
[09:17:17:886] Receiving message 176 (BasicNoOperationMessage)
[09:17:17:886] Receiving message 6208 (AchievementFinishedMessage)
[09:17:18:092] Sending message 225 (MapInformationsRequestMessage)
[09:17:18:113] Receiving message 6362 (BasicAckMessage)
[09:17:18:346] Receiving message 226 (MapComplementaryInformationsDataMessage)
[09:17:18:346] Receiving message 780 (TextInformationMessage)
[09:17:18:346] Receiving message 176 (BasicNoOperationMessage)
[09:17:23:643] Dofus client deconnected from sniffer server.
